증권종류,회사명,종목코드,업종,주요제품,상장일,결산일,대표자명,홈페이지,지역
유가증권,효성중공업,298040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2018-07-13,12월,우태희,http://www.hyosungheavyindustries.com,서울특별시
유가증권,효성티앤씨,298020,화학섬유 제조업,화학섬유 제조업,2018-07-13,12월,김치형,http://www.hyosungtnc.com,서울특별시
유가증권,효성화학,298000,기초 화학물질 제조업,기초 화학물질 제조업,2018-07-13,12월,이건종,http://www.hyosungchemical.com,서울특별시
코스닥,아이큐어,175250,의약품 제조업,의약품 제조업,2018-07-12,12월,이영석,http://icure.co.kr,서울특별시
코스닥,SV인베스트먼트,289080,기타 금융업,기타 금융업,2018-07-06,03월,박성호..,http://www.svinvest.com,서울특별시
코넥스,엘리비젼,276240,영상 및 음향기기 제조업,영상 및 음향기기 제조업,2018-07-05,12월,안덕근,http://www.elivision.com/,인천광역시
코넥스,지앤이헬스케어,299480,기타 섬유제품 제조업,기타 섬유제품 제조업,2018-06-29,12월,장영민,http://www.hannahpad.com,경기도
유가증권,이리츠코크렙,088260,부동산 임대 및 공급업,부동산 임대 및 공급업,2018-06-27,06월,김영규,없음,서울특별시
코스닥,EDGC,245620,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2018-06-26,12월,대표이..,http://www.edgc.com,인천광역시
유가증권,HDC현대산업개발,294870,건물 건설업,건물 건설업,2018-06-12,12월,정경구..,http://www.hdc-dvp.com,서울특별시
코스닥,카이노스메드,284620,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2018-06-08,12월,이기섭,http://www.kainosmedicine.com,경기도
코스닥,파워넷,037030,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2018-06-07,12월,김상우..,http://www.gopowernet.com,서울특별시
코스닥,현대사료,016790,동물용 사료 및 조제식품 제조업,동물용 사료 및 조제식품 제조업,2018-06-01,12월,이원찬,http://www.hdfeed.co.kr,충청남도
