제목,저자,역자,글그림,그림,기획,감수,글,출판사,출간일,가격,평점,리뷰수,상세페이지링크
더 좋은 문장을 쓰고 싶은 당신을 위한 필사책,이주윤,,,,,,,빅피시,2024년 08월,19800,9.7,129,https://www.yes24.com/product/goods/129866239
어른의 기분 관리법,"손힘찬,이영탁,이현정,승PD,박은주,아이릿,이주희,김영미,이민영",,,,,,,어센딩,2024년 05월,15120,8.2,24,https://www.yes24.com/product/goods/126589621
친구의 전설,이지은,,,,,,,웅진주니어,2023년 11월,15120,9.9,355,https://www.yes24.com/product/goods/123776471
느리게 나이 드는 습관,정희원,,,,,,,한빛라이프,2023년 12월,16200,9.7,225,https://www.yes24.com/product/goods/123318244
100미터 2,우오토,,,,,,,학산문화사,2023년 06월,8100,10.0,6,https://www.yes24.com/product/goods/119692569
영어회화 핵심패턴 233,백선엽,,,,,,,길벗이지톡,2023년 01월,16200,9.4,151,https://www.yes24.com/product/goods/116577834
ETS 토익 정기시험 기출문제집 1000 Vol.3 LISTENING 리스닝,ETS,,,,,,,YBM(와이비엠),2021년 12월,16020,9.8,435,https://www.yes24.com/product/goods/105384874
초판본 인간 실격,다자이 오사무,,,,,,,더스토리,2021년 09월,2690,9.9,24,https://www.yes24.com/product/goods/103542316
해커스 토익 스타트 LC Listening (리스닝),David Cho,,,,,,,해커스어학연구소,2024년 09월,13410,9.7,102,https://www.yes24.com/product/goods/85028105
해커스 그래머 게이트웨이 베이직 (Grammar Gateway Basic),David Cho,,,,,,,해커스어학연구소,2023년 02월,13410,9.7,264,https://www.yes24.com/product/goods/73425553
페인트,이희영,,,,,,,창비,2019년 04월,11700,9.5,518,https://www.yes24.com/product/goods/72158875
귀멸의 칼날 5,고토게 코요하루,,,,,,,학산문화사,2018년 07월,5400,9.8,537,https://www.yes24.com/product/goods/62751508
귀멸의 칼날 1,고토게 코요하루,,,,,,,학산문화사,2017년 09월,5400,9.7,753,https://www.yes24.com/product/goods/50151751
해가 지는 곳으로,최진영,,,,,,,민음사,2017년 06월,12600,9.4,432,https://www.yes24.com/product/goods/43504366
투자에 대한 생각,하워드 막스,,,,,,,비즈니스맵,2012년 09월,13500,9.2,269,https://www.yes24.com/product/goods/7737244
초판본 이방인,알베르 까뮈,,,,,,,더스토리,2025년 02월,2680,9.7,28,https://www.yes24.com/product/goods/142685990
처음이라도 괜찮아! 따라만 해도 완성되는 캔바 디자인,남궁혜영,,,,,,,아이콕스(iCox),2025년 10월,13500,10.0,6,https://www.yes24.com/product/goods/157776421
전지적 독자 시점 15~16 세트,싱숑,,,,,,슬리피-C,에이템포미디어,2025년 09월,29700,10.0,6,https://www.yes24.com/product/goods/154853240
타키 포오의 이세계 여행사 11,캐릭온TV,,,,,,송도수,대원씨아이(단행)(대원키즈),2025년 09월,14220,10.0,1,https://www.yes24.com/product/goods/154147550
궤도의 다시 만난 과학자,궤도,,,,,,,영진닷컴,2025년 09월,17820,10.0,13,https://www.yes24.com/product/goods/154075122
썰레임 꿈의 악마 2 : 꿈을 파는 가게,썰레임,,,,,,김언정,학산문화사(단행본),2025년 08월,15120,10.0,7,https://www.yes24.com/product/goods/151664185
이어령의 말 2,이어령,,,,,,,세계사,2025년 07월,19800,9.9,22,https://www.yes24.com/product/goods/151360649
채사장의 지대넓얕 14 : 예술의 역사,"채사장, 마케마케",,,,,,,돌핀북,2025년 08월,13500,10.0,40,https://www.yes24.com/product/goods/150109791
AI 에이전트 생태계,조쉬,,,,,,,로드북,2025년 08월,24300,10.0,5,https://www.yes24.com/product/goods/149414736
2026 이기적 AI-POT AI 프롬프트활용능력 2급 (1급 포함) 기본서,김영진,,,,,,,영진닷컴,2025년 07월,26100,9.6,15,https://www.yes24.com/product/goods/148136949
읽으면서 바로 써먹는 어린이 초등 교과 어휘,한날,,,,,,,파란정원,2025년 04월,11700,10.0,73,https://www.yes24.com/product/goods/145323420
아홉 살에 시작하는 똑똑한 초등신문 3,신효원,,,,,,,책장속북스,2025년 05월,17550,9.8,101,https://www.yes24.com/product/goods/145129032
손실은 짧게 수익은 길게,깡토,,,,,,,이레미디어,2025년 05월,22500,9.4,98,https://www.yes24.com/product/goods/145124304
흔한남매의 흔한 호기심 13,흔한남매,,,,,,안치현,미래엔아이세움,2025년 03월,13500,9.9,115,https://www.yes24.com/product/goods/143484785
초판본 자기만의 방,버지니아 울프,,,,,,,더스토리,2025년 03월,2680,9.7,13,https://www.yes24.com/product/goods/143303173
빅 트레이더의 주도주 매매법,서희파더(이재상),,,,,,,이레미디어,2024년 12월,31500,8.4,96,https://www.yes24.com/product/goods/136562188
읽으면서 바로 써먹는 어린이 스도쿠 : 학교 괴담,한날,,,,,,,파란정원,2024년 09월,11700,9.9,94,https://www.yes24.com/product/goods/133305839
백년목2 치료편,정선근,,,,,,,언탱글링,2024년 07월,19800,9.8,35,https://www.yes24.com/product/goods/129099339
행동력 수업,오현호,,,,,,,스카이마인드,2024년 07월,17820,9.6,55,https://www.yes24.com/product/goods/128591149
포스 윙,레베카 야로스,,,,,,,북폴리오,2024년 06월,23400,9.7,254,https://www.yes24.com/product/goods/127934853
역사를 보다,"박현도, 곽민수, 강인욱, 허준",,,,,,,믹스커피,2024년 07월,20700,9.6,99,https://www.yes24.com/product/goods/127047306
율의 시선,김민서,,,,,,,창비,2024년 04월,11700,9.6,249,https://www.yes24.com/product/goods/126190623
